,City,Lat,Lon,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
282,tautira,-17.7333,-149.15,84.22,76,43,12.41,PF,1626916271
283,sheksna,59.21,38.5107,43.63,73,6,5.01,RU,1626916271
284,jogindarnagar,31.9833,76.7667,73.02,84,96,3.71,IN,1626916272
285,kidal,18.4411,1.4078,85.41,50,100,4.7,ML,1626916272
286,arman,59.7,150.1667,54.72,92,100,9.13,RU,1626916272
287,mocuba,-16.8392,36.9856,67.3,85,47,2.59,MZ,1626916273
288,isla aguada,18.7833,-91.4667,85.05,78,8,11.92,MX,1626916273
289,coari,-4.085,-63.1414,78.93,66,81,2.33,BR,1626916273
290,burnie,-41.0667,145.9167,54.91,76,100,4.74,AU,1626916274
291,khatanga,71.9667,102.5,52.23,93,100,3.91,RU,1626916274
292,upernavik,72.7868,-56.1549,42.94,82,100,10.16,GL,1626916275
293,codrington,-38.2667,141.9667,47.82,76,100,13.29,AU,1626916275
294,pemangkat,1.1667,108.9667,81.57,80,99,8.32,ID,1626916276
295,noshiro,40.2039,140.0242,82.0,71,100,3.83,JP,1626916277
296,tshikapa,-6.4167,20.8,70.77,35,0,2.66,CD,1626916277
297,uarini,-2.99,-65.1083,78.96,68,100,0.74,BR,1626916278
298,namatanai,-3.6667,152.4333,82.31,76,81,4.85,PG,1626916278
299,college,64.8569,-147.8028,79.59,41,75,5.75,US,1626916279
300,celestun,20.8667,-90.4,84.58,73,3,17.29,MX,1626916279
301,svetlaya,46.5389,138.3297,73.58,82,98,7.38,RU,1626916279
302,namibe,-15.1961,12.1522,64.26,82,0,3.38,AO,1626916281
303,filadelfia,39.9523,-75.1638,75.18,85,75,1.99,US,1626915990
304,rojhan,28.6868,69.9534,87.82,50,0,7.05,PK,1626916281
305,tonantins,-2.8731,-67.8022,77.92,70,86,2.35,BR,1626916273
306,solnechnyy,50.7214,136.6319,86.67,53,81,3.09,RU,1626916282
307,leua,48.2156,18.6071,62.49,73,6,4.45,SK,1626916282
308,hamilton,39.1834,-84.5333,75.76,72,1,1.01,US,1626916149
309,taoudenni,22.6783,-3.9836,102.04,12,18,9.55,ML,1626916032
310,neiafu,-18.65,-173.9833,79.48,78,20,11.5,TO,1626916284
311,cuamba,-14.8031,36.5372,70.52,59,99,2.93,MZ,1626916284
312,katsuura,35.1333,140.3,86.14,69,8,4.43,JP,1626916284
313,springdale,36.1867,-94.1288,80.73,66,20,5.01,US,1626916285
314,korla,41.7597,86.1469,86.43,23,55,8.37,CN,1626916285
315,ilulissat,69.2167,-51.1,44.62,81,81,0.0,GL,1626916285
316,gondanglegi,-7.7479,112.0132,79.68,70,61,10.54,ID,1626916286
317,muyezerskiy,63.9333,31.65,51.49,73,100,10.71,RU,1626916286
318,havelock,34.8791,-76.9013,82.38,91,0,3.0,US,1626916287
319,tecoanapa,16.5167,-98.75,83.98,78,11,5.5,MX,1626916287
320,cidreira,-30.1811,-50.2056,53.47,62,0,1.52,BR,1626916287
321,indio,33.7206,-116.2156,113.63,21,1,5.99,US,1626916288
322,krasnoselkup,65.7,82.4667,65.77,64,100,17.94,RU,1626916288
323,saskylakh,71.9167,114.0833,61.45,60,100,15.59,RU,1626916289
324,gotsu,35.0,132.2167,84.27,58,100,6.87,JP,1626916289
325,flinders,-34.5833,150.8552,57.18,62,0,1.99,AU,1626915994
326,ribeira grande,38.5167,-28.7,68.2,73,51,13.31,PT,1626916290
327,aswan,24.0934,32.907,92.68,20,99,12.64,EG,1626916290
328,moerai,-22.4333,-151.3333,74.3,67,41,6.02,PF,1626916290
329,iralaya,15.0,-83.2333,80.94,83,100,14.16,HN,1626916291
330,srednekolymsk,67.45,153.6833,65.17,56,100,5.37,RU,1626916291
331,beloha,-25.1667,45.05,68.58,61,1,7.05,MG,1626916291
332,porto novo,6.4965,2.6036,75.85,78,38,7.31,BJ,1626916292
333,ferrol,43.4832,-8.2369,65.35,94,100,2.91,ES,1626916292
334,ancud,-41.8697,-73.8203,49.53,86,100,12.82,CL,1626916293
335,gazanjyk,39.2446,55.5154,82.33,31,3,1.74,TM,1626916293
336,tocopilla,-22.092,-70.1979,64.56,63,13,5.97,CL,1626916294
337,bustamante,26.5333,-100.5,81.28,60,91,6.71,MX,1626916299
338,xai-xai,-25.0519,33.6442,63.43,83,0,8.46,MZ,1626916299
339,naze,28.3667,129.4833,77.18,91,100,28.63,JP,1626916061
340,nanakuli,21.3906,-158.1547,85.95,68,90,8.05,US,1626916305
341,champerico,14.3,-91.9167,86.76,76,35,4.21,GT,1626915916
342,kupang,-10.1667,123.5833,81.18,74,20,10.36,ID,1626916306
343,channel-port aux basques,47.5702,-59.1367,62.06,94,100,10.36,CA,1626916306
344,iquitos,-3.7481,-73.2472,76.86,71,100,1.28,PE,1626915781
345,hami,42.8,93.45,89.19,19,57,1.23,CN,1626915796
346,nicolas bravo,18.45,-88.9167,76.98,88,3,3.91,MX,1626916307
347,shimoda,34.6667,138.95,85.1,71,4,5.73,JP,1626915938
348,gustrow,53.7972,12.1734,57.52,88,20,3.44,DE,1626916307
349,mazamitla,19.9167,-103.0333,60.51,86,98,1.7,MX,1626916308
350,marsaxlokk,35.8419,14.5431,77.07,94,0,2.3,MT,1626916308
351,koslan,63.4564,48.8989,44.02,80,8,2.91,RU,1626916309
352,lagos,6.5833,3.75,75.92,79,100,5.88,NG,1626915926
353,ganserndorf,48.3392,16.7202,63.99,73,0,5.93,AT,1626916309
354,santa cruz,-17.8,-63.1667,60.26,67,40,3.44,BO,1626916310
355,bejar,40.3864,-5.7634,72.57,29,0,3.42,ES,1626916310
356,paita,-5.0892,-81.1144,66.24,84,0,14.85,PE,1626915753
357,iberia,29.9502,-91.7507,84.27,78,1,6.91,US,1626916312
358,hithadhoo,-0.6,73.0833,82.11,73,100,13.31,MV,1626915735
359,dickinson,29.4608,-95.0513,86.16,74,20,4.61,US,1626916312
360,tabou,4.423,-7.3528,75.9,85,11,7.45,CI,1626916313
361,ussel,45.55,2.3167,62.08,76,40,2.93,FR,1626916313
362,graham,47.0529,-122.2943,73.81,45,75,0.0,US,1626916186
363,bowen,-20.0167,148.2333,67.03,49,8,11.07,AU,1626916314
364,la ronge,55.1001,-105.2842,71.82,78,90,4.61,CA,1626915838
365,aranos,-24.1333,19.1167,33.55,31,0,6.35,NA,1626916314
366,debre tabor,11.85,38.0167,50.85,94,100,1.48,ET,1626916168
367,fethiye,36.6217,29.1164,85.87,54,0,2.84,TR,1626916315
368,samarai,-10.6167,150.6667,78.93,71,94,14.38,PG,1626915858
369,brejo,-3.6844,-42.7503,74.3,82,22,4.09,BR,1626916315
370,norman wells,65.282,-126.8329,84.33,30,52,2.42,CA,1626916316
371,torit,4.4133,32.5678,67.46,88,44,3.91,SS,1626916316
372,sarangani,5.4033,125.4636,83.64,75,99,14.54,PH,1626916317
373,faya,18.3851,42.4509,59.52,88,68,9.73,SA,1626916044
374,cape coast,5.1053,-1.2466,76.53,81,100,8.28,GH,1626916148
375,san quintin,30.4833,-115.95,72.93,76,11,13.65,MX,1626915840
376,shakawe,-18.3667,21.85,51.1,39,0,8.05,BW,1626916318
377,mizdah,31.4451,12.9801,68.09,77,0,3.42,LY,1626916319
378,tabas,33.5959,56.9244,86.31,14,0,6.17,IR,1626916319
379,ko samui,9.5357,99.9357,83.14,74,99,17.87,TH,1626916285
380,quatre cocos,-20.2078,57.7625,68.09,72,66,17.87,MU,1626916320
381,constitucion,-35.3333,-72.4167,53.38,88,100,1.95,CL,1626915734
382,tambura,5.6,27.4667,67.53,86,91,1.86,SS,1626916048
383,matara,5.9485,80.5353,78.69,87,100,14.18,LK,1626916154
384,yining,29.0361,114.5636,86.52,66,17,2.21,CN,1626916321
385,sambava,-14.2667,50.1667,70.68,83,39,13.24,MG,1626916106
386,richards bay,-28.783,32.0377,57.49,85,0,4.16,ZA,1626916039
387,khandyga,62.6667,135.6,65.32,77,100,7.74,RU,1626916322
388,muncar,-8.4333,114.3333,78.87,73,98,4.72,ID,1626916322
389,tiksi,71.6872,128.8694,40.8,91,100,6.73,RU,1626915745
390,kautokeino,69.0125,23.0412,46.08,76,99,13.56,NO,1626916328
391,vanavara,60.34,102.2797,65.55,59,88,2.66,RU,1626916328
392,abha,18.2164,42.5053,59.25,100,88,8.05,SA,1626916329
393,saint george,37.1041,-113.5841,100.87,23,1,18.41,US,1626915716
394,manggar,-2.8833,108.2667,83.5,76,100,11.32,ID,1626916329
395,fayaoue,-20.65,166.5333,72.81,68,2,11.52,NC,1626916330
396,seoul,37.5683,126.9778,87.24,51,99,3.4,KR,1626915786
397,igarka,67.4667,86.5833,58.73,67,100,15.12,RU,1626916330
398,lermontovka,47.1453,134.3383,86.45,68,56,3.22,RU,1626916331
399,morgan city,29.6994,-91.2068,84.2,78,1,5.75,US,1626916135
400,monthey,46.2555,6.9607,71.28,84,0,3.53,CH,1626916332
401,berdigestyakh,62.0989,126.6992,74.89,48,3,8.08,RU,1626916332
402,xuanhua,40.6103,115.0447,69.69,94,100,5.19,CN,1626916332
403,yulara,-25.2406,130.9889,70.48,35,0,23.15,AU,1626915762
404,bereslavka,48.6254,44.0449,72.37,64,99,5.44,RU,1626916333
405,omsukchan,62.5333,155.8,63.88,63,100,8.32,RU,1626916055
406,teya,60.3778,92.6267,59.74,86,0,1.59,RU,1626916334
407,qasigiannguit,68.8193,-51.1922,44.85,91,90,1.03,GL,1626916335
408,owando,-0.4819,15.8999,74.79,52,100,2.3,CG,1626916039
409,guaratinga,-16.5667,-39.5667,68.67,89,0,2.68,BR,1626916273
410,leander,30.5788,-97.8531,84.69,69,75,4.0,US,1626916336
411,chepareria,1.3077,35.2039,58.53,86,34,4.99,KE,1626916337
412,cascais,38.6979,-9.4215,64.62,78,0,7.0,PT,1626916057
413,fernley,39.608,-119.2518,95.97,9,3,18.54,US,1626916338
414,dwarka,22.2394,68.9678,82.87,85,100,25.61,IN,1626916338
415,garden city,42.3256,-83.331,71.89,58,89,7.83,US,1626915660
416,labuhan,-6.8844,112.2051,80.08,71,87,6.35,ID,1626916339
417,nabire,-3.3667,135.4833,74.97,95,98,3.53,ID,1626916049
418,snasa,64.2457,12.3778,53.94,96,100,13.6,NO,1626916340
419,asfi,32.2994,-9.2372,70.11,76,6,16.37,MA,1626916132
420,sao joao da barra,-21.6403,-41.0511,67.66,80,100,4.94,BR,1626916340
421,vizinga,61.0749,50.1031,53.38,82,100,3.13,RU,1626916341
422,fort-shevchenko,44.5086,50.263,84.09,56,0,8.48,KZ,1626916341
423,pingxiang,27.6167,113.85,87.49,65,57,3.69,CN,1626916341
424,praia,14.9215,-23.5087,77.25,85,11,1.21,CV,1626915757
425,sydney,-33.8679,151.2073,58.32,53,0,1.99,AU,1626915687
426,luangwa,-15.6167,30.4167,60.94,63,3,1.07,ZM,1626916176
427,musselburgh,55.9417,-3.0499,64.96,94,14,1.01,GB,1626916342
428,yerbogachen,61.2767,108.0108,69.28,55,100,2.28,RU,1626916343
429,boddam,57.4667,-1.7833,61.38,91,100,7.09,GB,1626916343
430,shemonaikha,50.6328,81.9056,64.85,88,100,2.57,KZ,1626916344
431,stromness,58.965,-3.296,53.85,93,0,9.13,GB,1626916344
432,williams lake,52.1415,-122.1445,63.97,52,90,8.57,CA,1626915716
433,sfantu gheorghe,45.8667,25.7833,58.93,84,100,3.06,RO,1626916345
434,lata,40.1629,-8.3327,62.04,90,96,4.0,PT,1626915778
435,ballina,-28.8667,153.5667,60.78,56,19,9.31,AU,1626915767
436,salalah,17.0151,54.0924,77.34,92,100,10.29,OM,1626915623
437,kedrovyy,56.1667,91.8167,63.01,67,0,2.51,RU,1626916346
438,muscat,23.6139,58.5922,98.62,55,63,9.66,OM,1626916348
439,asosa,10.0667,34.5333,58.64,97,100,3.78,ET,1626916348
440,tiarei,-17.5333,-149.3333,84.22,77,26,13.76,PF,1626916104
441,watsa,3.0372,29.5355,61.93,99,99,3.18,CD,1626916349
442,guerrero negro,27.9769,-114.0611,72.88,75,98,18.63,MX,1626916349
443,palu,-0.8917,119.8707,78.04,91,100,2.71,ID,1626916349
444,gien,47.6933,2.6309,62.44,84,28,5.55,FR,1626916350
445,ayr,55.4627,-4.6339,65.48,88,5,2.3,GB,1626916350
446,kanniyakumari,8.0833,77.5667,80.2,79,100,21.68,IN,1626916350
447,portland,45.5234,-122.6762,77.56,43,40,1.99,US,1626916156
448,vila franca do campo,37.7167,-25.4333,68.41,78,33,6.33,PT,1626916351
449,storforshei,66.4043,14.5233,50.67,99,100,8.1,NO,1626916351
450,banjar,-8.19,114.9675,80.46,64,13,3.18,ID,1626915822
451,barra do garcas,-15.89,-52.2567,70.57,32,5,1.16,BR,1626916352
452,omboue,-1.5746,9.2618,71.85,82,69,6.33,GA,1626915835
453,san policarpo,12.1791,125.5072,86.38,64,100,15.23,PH,1626915798
454,muriwai beach,-36.8167,174.45,61.79,77,100,11.65,NZ,1626916353
455,waingapu,-9.6567,120.2641,81.3,60,100,12.53,ID,1626916067
456,santa isabel,-23.3156,-46.2214,62.65,57,0,0.87,BR,1626916355
457,grootfontein,-19.5667,18.1167,46.76,53,0,8.32,NA,1626916355
458,bonthe,7.5264,-12.505,77.09,80,100,6.15,SL,1626916041
459,bubaque,11.2833,-15.8333,80.8,81,100,12.08,GW,1626916143
460,azare,11.6765,10.1948,75.63,79,58,7.76,NG,1626916092
461,sangar,63.9242,127.4739,71.26,57,5,6.29,RU,1626916092
462,ahvaz,31.3203,48.6693,99.73,38,3,7.23,IR,1626916362
463,pereslavl-zalesskiy,56.7393,38.8563,49.8,95,4,6.89,RU,1626916362
464,boromo,11.75,-2.9333,80.19,64,100,10.31,BF,1626916363
465,padang,-0.9492,100.3543,79.9,72,97,2.84,ID,1626915738
466,amahai,-3.3333,128.9167,75.54,95,100,3.87,ID,1626916363
467,shellbrook,53.2168,-106.4011,86.45,38,46,7.94,CA,1626916364
468,logrono,42.4667,-2.45,74.7,73,0,0.0,ES,1626916364
469,tevriz,57.509,72.4042,66.24,65,100,7.36,RU,1626916365
470,pangnirtung,66.1451,-65.7125,41.56,84,97,4.16,CA,1626915893
471,ejido,8.5514,-71.2375,66.87,91,23,5.39,VE,1626916365
472,inhambane,-23.865,35.3833,67.17,74,0,9.91,MZ,1626916003
473,ixtapa,20.7,-105.2,86.23,83,100,1.01,MX,1626915947
474,lincoln,40.8,-96.667,83.28,60,1,1.01,US,1626916321
475,angoche,-16.2325,39.9086,71.37,87,0,0.56,MZ,1626916366
476,caucaia,-3.7361,-38.6531,81.03,76,20,17.27,BR,1626916367
477,la orilla,17.9833,-102.2333,82.94,82,23,4.97,MX,1626916367
478,suksun,57.1431,57.3949,64.13,67,100,3.58,RU,1626916367
479,anyang,36.0994,114.3289,72.0,98,100,9.91,CN,1626916368
480,suzun,53.7841,82.3116,65.98,68,20,5.53,RU,1626916368
481,kachug,53.9606,105.8817,70.59,63,0,1.36,RU,1626916369
482,sao joao de pirabas,-0.7747,-47.1772,74.61,95,23,4.76,BR,1626916369
483,shieli,44.1667,66.75,76.57,36,0,8.25,KZ,1626916370
484,nchelenge,-9.3451,28.734,62.4,44,0,7.18,ZM,1626916370
485,ust-labinsk,45.2125,39.6864,78.24,91,16,8.68,RU,1626916370
486,dhidhdhoo,6.8833,73.1,83.21,76,100,18.52,MV,1626916030
487,rio gallegos,-51.6226,-69.2181,37.45,75,0,9.22,AR,1626916371
488,tura,25.5198,90.2201,76.28,95,100,2.8,IN,1626915907
489,tongliao,43.6125,122.2653,86.05,56,0,11.3,CN,1626916372
490,bairiki,1.3292,172.9752,87.8,70,40,8.05,KI,1626915965
491,nizhyn,51.048,31.8869,63.45,65,100,8.72,UA,1626916372
492,benalla,-36.55,145.9833,48.58,80,100,8.61,AU,1626916373
493,gillette,44.2911,-105.5022,90.05,28,1,5.01,US,1626916373
494,tapia,7.7542,126.0119,82.67,76,100,6.2,PH,1626916374
495,grand gaube,-20.0064,57.6608,68.38,72,89,5.01,MU,1626916374
496,rangpur,25.75,89.25,82.45,87,100,3.36,BD,1626916375
497,sorland,67.667,12.6934,50.47,93,100,20.31,NO,1626915844
498,tefe,-3.3542,-64.7114,79.5,67,100,1.68,BR,1626916375
499,dedougou,12.4667,-3.4667,79.38,68,100,10.69,BF,1626916375
500,daru,-9.0763,143.2092,79.86,75,74,15.68,PG,1626916011
501,evensk,61.95,159.2333,49.91,93,100,8.81,RU,1626916381
502,lethem,3.3803,-59.7968,75.69,89,65,3.96,GY,1626916336
503,sharan,54.8167,54.0,63.7,73,12,2.24,RU,1626916382
504,erdenet,49.0333,104.0833,60.12,82,0,4.09,MN,1626916382
505,bilma,18.6853,12.9164,93.29,31,100,9.48,NE,1626916139
506,uvalde,29.3669,-99.767,83.19,70,40,4.61,US,1626916383
507,luanda,-8.8368,13.2343,67.96,92,3,7.29,AO,1626915806
508,nurota,40.5614,65.6886,68.09,24,0,7.25,UZ,1626916385
509,zhuravka,50.4811,32.5949,58.1,87,75,7.56,UA,1626916385
510,peterhead,57.5058,-1.7981,61.2,91,99,7.18,GB,1626916189
511,gashua,12.871,11.0482,83.52,58,20,7.2,NG,1626916386
512,dongning,44.0622,131.1207,88.21,56,87,3.69,CN,1626916391
513,dahuk,36.8695,42.994,81.68,25,0,2.37,IQ,1626916391
514,juneau,58.3019,-134.4197,60.85,91,90,12.66,US,1626916392
515,christchurch,-43.5333,172.6333,48.99,90,75,4.0,NZ,1626915536
516,tooele,40.5308,-112.2983,89.74,31,40,20.71,US,1626916392
517,north bend,43.4065,-124.2243,66.92,72,1,23.02,US,1626916393
518,astana,51.1801,71.446,57.15,77,0,6.71,KZ,1626916236
519,mopipi,-21.1833,24.8833,50.41,31,0,12.12,BW,1626916275
520,vieques,18.425,-65.8329,82.42,78,40,12.66,PR,1626916394
521,russell,32.3502,-85.1999,79.83,88,75,0.0,US,1626916032
522,maragogi,-9.0122,-35.2225,73.87,85,9,9.98,BR,1626916394
523,podor,16.6527,-14.9587,78.98,70,10,18.9,MR,1626916395
524,liverpool,53.4106,-2.9779,70.29,81,0,1.01,GB,1626916153
525,poum,-20.2333,164.0167,72.37,62,5,7.49,NC,1626916354
526,pades,45.0167,22.85,59.59,75,2,4.9,RO,1626916397
527,ossora,59.2353,163.0719,64.36,66,100,5.7,RU,1626916369
528,chapais,49.7834,-74.8492,60.93,52,100,2.37,CA,1626916398
529,mugumu,-1.85,34.7,61.79,58,0,5.48,TZ,1626916155
530,lorengau,-2.0226,147.2712,84.0,71,100,4.43,PG,1626916399
531,jaciara,-15.9653,-54.9683,70.23,31,0,1.14,BR,1626916404
532,ostrovnoy,68.0531,39.5131,45.91,82,100,6.78,RU,1626916404
533,maldonado,-34.6667,-54.9167,47.59,81,100,5.32,UY,1626916405
534,puerto padre,21.195,-76.6028,83.41,79,0,10.65,CU,1626916410
535,antalaha,-14.9003,50.2788,69.19,86,75,10.83,MG,1626916410
536,padilla,3.2204,-76.3139,72.46,68,81,3.51,CO,1626916411
537,steamboat springs,40.485,-106.8317,85.59,35,1,5.75,US,1626916363
538,lufilufi,-13.8745,-171.5986,86.79,76,21,19.95,WS,1626916412
539,aitape,-3.1374,142.3475,83.91,73,96,4.45,PG,1626916412
540,baragaon,25.4333,82.8167,80.58,94,90,8.05,IN,1626916412
541,abu samrah,35.3029,37.1841,72.72,74,0,14.54,SY,1626916413
542,suhbaatar,50.2314,106.2078,64.35,81,72,4.05,MN,1626916414
543,neryungri,56.6709,124.6491,59.05,90,100,0.54,RU,1626916414
544,dali,25.7,100.1833,66.83,86,95,1.23,CN,1626916414
545,grande prairie,55.1667,-118.8027,55.58,88,75,10.36,CA,1626916415
546,ardakan,32.31,54.0175,83.16,15,4,1.16,IR,1626916415
547,heide,54.2,9.1,60.89,90,0,3.62,DE,1626916416
548,wajir,1.7471,40.0573,74.93,66,95,15.41,KE,1626916416
549,aleksandrov gay,50.147,48.5704,79.03,43,74,9.13,RU,1626916417
550,veraval,20.9,70.3667,82.47,85,96,23.96,IN,1626916417
551,itoman,26.1247,127.6694,82.42,89,75,23.02,JP,1626916417
552,gamba,-2.65,10.0,71.62,82,100,6.85,GA,1626916364
553,kazanskoye,55.6448,69.235,65.73,72,90,8.3,RU,1626916418
554,severo-kurilsk,50.6789,156.125,52.95,90,84,2.89,RU,1626916418
555,sao felix do xingu,-6.6447,-51.995,74.7,47,6,1.74,BR,1626916419
556,qingdao,36.0986,120.3719,81.09,72,100,6.02,CN,1626916419
557,mfou,3.7159,11.6427,68.07,94,100,4.09,CM,1626916419
558,port lincoln,-34.7333,135.8667,46.81,87,100,16.67,AU,1626916420
559,nizhnyaya tavda,57.6731,66.1725,63.48,97,100,3.71,RU,1626916421
560,karratha,-20.7377,116.8463,75.6,50,6,11.7,AU,1626916421
561,harper,4.375,-7.7169,76.19,84,53,7.65,LR,1626916421
562,ribeira brava,32.65,-17.0667,70.72,82,0,2.04,PT,1626916422
563,salinas,36.6777,-121.6555,86.81,63,1,12.66,US,1626916422
564,severodvinsk,64.5635,39.8302,50.11,66,100,6.31,RU,1626916422
565,wanxian,30.8039,108.3897,84.29,76,23,4.27,CN,1626916423
566,san joaquin,37.9333,-121.3011,100.11,19,1,10.36,US,1626916423
